Name,Median Gross Rent(monthly),Total Household Income(yearly),Total population,Transportation To Work,Wage,Health Insurance Coverage,Employment Status,Bedrooms,Total Contract Rent,Total Rent Asked,Total Gross Rent,Aggregate Gross Rent,Median Value,Total Price Asked,Selected Monthly Owner Costs,Monthly Housing Cost,state_id,county_id
NAME,B25031_001E,B19001_001E,B01003_001E,B08141_016E,B19052_002E,C27021_001E,B23025_001E,B25041_001E,B25056_001E,B25061_001E,B25063_001E,B25065_001E,B25077_001E,B25085_001E,B25094_001E,B25104_001E,state,county
"Daviess County, Missouri",560,2991,8302,0,1941,8106,6425,4199,643,86,643,310900,107500,73,2348,2991,29,061
"Knox County, Missouri",492,1533,3951,0,926,3885,3136,2280,307,10,307,105100,71900,44,1226,1533,29,103
"Marion County, Missouri",660,11500,28672,8,8166,27993,22508,13004,4101,283,4101,2591000,121400,552,7399,11500,29,127
"Osage County, Missouri",532,5113,13619,21,3846,13482,10800,6622,854,238,854,435800,146000,61,4259,5113,29,151
"Ripley County, Missouri",543,5154,13693,0,3096,13638,10861,6612,1085,32,1085,518600,85000,213,4069,5154,29,181
"Warren County, Missouri",794,12232,33908,7,8689,33732,26569,15297,2713,417,2713,2144900,172400,304,9519,12232,29,219
"Audrain County, Missouri",648,9328,25735,0,6462,23862,20455,10880,3143,191,3143,1809600,98300,662,6185,9328,29,007
"Christian County, Missouri",791,31097,84275,8,23032,83838,65172,33720,8032,777,8032,6401400,162900,500,23065,31097,29,043
"Greene County, Missouri",754,122026,288429,832,87913,284574,234490,132241,51935,4552,51935,40005100,141200,1872,70091,122026,29,077
"Harrison County, Missouri",515,3556,8554,2,2391,8336,6699,4391,992,138,992,440200,74600,18,2564,3556,29,081
"St. Clair County, Missouri",588,4126,9383,2,2317,9114,7741,5639,919,98,919,411700,83600,140,3207,4126,29,185
"Adair County, Missouri",619,9513,25325,12,6682,25021,21380,11499,3801,429,3801,2487100,118100,113,5712,9513,29,001
"Scotland County, Missouri",527,1820,4898,0,1227,4806,3654,2360,530,37,530,270200,87200,135,1290,1820,29,199
