Median Gross Rent(monthly),Total Household Income(yearly),Total population,Transportation To Work,Wage,Health Insurance Coverage,Employment Status,Bedrooms,Total Contract Rent,Total Rent Asked,Total Gross Rent,Aggregate Gross Rent,Median Value,Total Price Asked,Selected Monthly Owner Costs,Monthly Housing Cost,Median Value 18,Value Increase Index(17-18)
586,6663,16374,12,3580,16244,13770,9414,1439,247,1439,698100.0,117300,346,5224,6663,78300,0.0
551,3855,9059,7,2083,8922,7506,5823,708,43,708,264600.0,96900,126,3147,3855,80600,0.0
492,3972,10584,8,2405,10518,8328,5233,1042,170,1042,405000.0,69800,149,2930,3972,112600,1.0
500,3336,7925,11,1834,7837,6499,4921,687,65,687,279800.0,89700,59,2649,3336,88300,0.0
655,50301,127362,195,35700,126347,99792,56296,20234,1790,20234,13266300.0,116800,915,30067,50301,94800,0.0
667,23870,62119,35,16853,61510,48359,26669,5804,873,5804,3603700.0,112500,283,18066,23870,115500,0.0
845,90906,251823,165,70714,250348,191488,100376,30631,1282,30631,25671700.0,163000,1548,60275,90906,140400,0.0
564,4323,11008,48,2610,10332,8850,5433,1455,246,1455,701000.0,63000,145,2868,4323,140000,1.0
655,12291,33480,75,8272,31439,27197,14416,3094,182,3094,1752000.0,88900,824,9197,12291,114200,1.0
605,9900,26155,39,6403,25958,20323,11423,2889,232,2889,1535800.0,95400,131,7011,9900,136900,1.0
542,3541,9614,0,2105,7998,8040,4369,1578,40,1578,610600.0,67100,3,1963,3541,113100,1.0
644,6190,15907,21,4211,15829,12699,7550,1455,102,1455,689100.0,108500,58,4735,6190,161800,1.0
533,5230,12094,7,3437,12026,9425,6307,2191,107,2191,896500.0,56700,111,3039,5230,135900,1.0
504,5117,12092,52,3073,11923,9940,6808,1120,112,1120,474200.0,91300,360,3997,5117,71400,0.0
555,5042,13472,65,3401,13296,10295,6260,1703,250,1703,721200.0,94100,118,3339,5042,89300,0.0
721,40062,97994,164,25245,96780,80247,50834,13223,1942,13223,9596500.0,131500,1400,26839,40062,135700,0.0
619,17238,43534,43,12173,42774,33476,20542,7516,965,7516,4063300.0,81400,307,9722,17238,116700,1.0
660,23147,63372,46,16103,62737,50475,26103,7636,711,7636,4919700.0,126100,478,15511,23147,113900,0.0
539,3920,8309,0,2528,8175,6820,4528,1144,35,1144,460000.0,65300,47,2776,3920,170700,1.0
650,16189,40022,32,10631,39634,31312,19850,4297,578,4297,2451500.0,79900,339,11892,16189,90700,1.0
484,2874,6763,30,1705,6646,5454,3891,982,161,982,430500.0,63700,55,1892,2874,76300,1.0
676,10646,25361,0,6408,25022,21105,16008,2658,32,2658,1538600.0,127000,368,7988,10646,79100,0.0
621,3292,8332,15,2268,8229,6727,4084,856,15,856,369900.0,87200,32,2436,3292,142300,1.0
576,6179,17429,10,3967,14320,14291,7591,1817,417,1817,998200.0,61300,197,4362,6179,134700,1.0
624,7930,22154,18,5511,21909,17008,10496,2469,483,2469,1336100.0,76200,142,5461,7930,99600,1.0
578,7296,17041,0,3898,16863,13810,9857,1936,217,1936,966300.0,79900,376,5360,7296,120000,1.0
585,4910,12443,0,2451,12342,10270,6839,1120,13,1120,557000.0,107300,73,3790,4910,104900,0.0
743,84460,223683,771,66967,221806,173478,91247,39429,2724,39429,30502200.0,162900,1096,45031,84460,99200,0.0
717,16821,44197,10,11899,43711,34695,18689,5498,275,5498,3713600.0,110400,417,11323,16821,107800,0.0
667,18398,41093,56,10249,40681,34719,22803,4534,548,4534,2788600.0,124400,577,13864,18398,119300,0.0
608,8182,20771,19,5556,20610,16422,10152,2128,541,2128,1051400.0,68200,182,6054,8182,78400,1.0
731,39838,104246,100,30146,103216,81271,44056,16600,1266,16600,11760900.0,134600,644,23238,39838,115100,0.0
406,2860,7051,6,1768,6918,5827,4369,784,120,784,242300.0,65900,50,2076,2860,88200,1.0
663,3692,10320,1,2372,10209,8252,4952,686,191,686,357000.0,99100,133,3006,3692,83900,0.0
595,7555,21601,53,5044,21293,16890,9826,2200,272,2200,1252800.0,100300,267,5355,7555,165800,1.0
571,7823,19518,4,4895,19349,14947,10177,4098,217,4098,2053800.0,67100,278,3725,7823,78200,1.0
564,9483,24098,3,6197,23782,18999,10959,3345,238,3345,1603300.0,78200,319,6138,9483,57800,0.0
